deces_annee,sexe,deces_dep,n
1978,1,974,1
1978,1,NA,2
1979,1,13,1
1979,1,69,1
1979,1,85,1
1979,1,NA,2
1979,2,56,1
1979,2,973,1
1980,1,41,1
1980,1,NA,4
1981,1,46,1
1981,1,971,1
1981,1,NA,2
1982,1,47,1
1982,1,75,1
1982,1,976,1
1982,1,NA,5
1982,2,08,1
1982,2,15,1
1982,2,2B,1
1982,2,NA,3
1983,1,60,1
1983,1,80,1
1983,1,972,2
1983,1,NA,5
1983,2,972,1
1983,2,NA,2
1984,1,75,2
1984,1,83,1
1984,1,93,1
1984,1,972,11
1984,1,NA,2
1984,2,972,3
1984,2,NA,1
1985,1,972,1
1985,1,NA,4
1985,2,13,1
1985,2,NA,1
1986,1,05,1
1986,1,13,1
1986,1,83,1
1986,1,972,1
1986,1,NA,3
1986,2,58,1
1986,2,77,1
1986,2,NA,2
1987,1,06,1
1987,1,NA,6
1987,2,40,1
1987,2,NA,1
1988,1,NA,3
1988,2,NA,1
1989,1,95,1
1989,1,972,1
1989,1,974,1
1989,1,976,1
1989,1,NA,5
1989,2,34,1
