SITE	NUMERO_SITE	SEXE	ANNEE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TSM_I_PRED	TSM_I_PRED_INF	TSM_I_PRED_SUP	TSE_I_PRED	TSE_I_PRED_INF	TSE_I_PRED_SUP	TB_I_PRED	TB_I_PRED_INF	TB_I_PRED_SUP
levre	01.10	2	2012	32754328.5	149	115	194	0.2	0.1	0.2	0.2	0.2	0.3	0.5	0.4	0.6
levre	01.10	2	2013	32917445	153	117	197	0.2	0.1	0.2	0.2	0.2	0.3	0.5	0.4	0.6
levre	01.10	2	2014	33078234.5	155	119	201	0.2	0.1	0.2	0.2	0.2	0.3	0.5	0.4	0.6
levre	01.10	2	2015	33219169.5	157	121	204	0.2	0.1	0.2	0.2	0.2	0.3	0.5	0.4	0.6
levre	01.10	2	2016	33346795	158	123	207	0.2	0.1	0.2	0.2	0.2	0.3	0.5	0.4	0.6
levre	01.10	2	2017	33463250.5	162	125	210	0.2	0.1	0.2	0.2	0.2	0.3	0.5	0.4	0.6
levre	01.10	2	2018	33517815	163	125	211	0.2	0.1	0.2	0.2	0.2	0.3	0.5	0.4	0.6
cbucale	01.20	1	1990	27606178	4168	3731	4659	12.1	10.9	13.6	16.5	14.7	18.4	15.1	13.5	16.9
cbucale	01.20	1	1991	27731738.5	4143	3708	4629	11.9	10.7	13.3	16.2	14.5	18	14.9	13.4	16.7
cbucale	01.20	1	1992	27855283	4117	3682	4601	11.7	10.4	13.1	15.8	14.1	17.7	14.8	13.2	16.5
cbucale	01.20	1	1993	27957444	4081	3649	4566	11.4	10.2	12.8	15.5	13.8	17.3	14.6	13.1	16.3
cbucale	01.20	1	1994	28038749.5	4038	3608	4519	11.1	9.9	12.5	15.1	13.5	16.9	14.4	12.9	16.1
cbucale	01.20	1	1995	28116753.5	3981	3559	4454	10.8	9.7	12.1	14.7	13.1	16.4	14.2	12.7	15.8
cbucale	01.20	1	1996	28195599	3912	3499	4372	10.5	9.4	11.7	14.2	12.7	15.9	13.9	12.4	15.5
cbucale	01.20	1	1997	28275964	3835	3433	4284	10.1	9.1	11.3	13.8	12.3	15.4	13.6	12.1	15.2
cbucale	01.20	1	1998	28361163	3753	3362	4196	9.8	8.8	10.9	13.3	11.9	14.8	13.2	11.9	14.8
cbucale	01.20	1	1999	28486063	3678	3292	4112	9.4	8.4	10.5	12.8	11.5	14.3	12.9	11.6	14.4
cbucale	01.20	1	2000	28657893.5	3606	3226	4032	9.1	8.1	10.2	12.3	11	13.8	12.6	11.3	14.1
cbucale	01.20	1	2001	28844405	3533	3161	3947	8.7	7.8	9.8	11.9	10.6	13.3	12.2	11	13.7
cbucale	01.20	1	2002	29033407.5	3460	3099	3863	8.4	7.5	9.4	11.5	10.3	12.8	11.9	10.7	13.3
cbucale	01.20	1	2003	29220241.5	3393	3041	3786	8.1	7.3	9	11.1	9.9	12.3	11.6	10.4	13
cbucale	01.20	1	2004	29415016.5	3338	2991	3723	7.8	7	8.7	10.7	9.6	11.9	11.3	10.2	12.7
cbucale	01.20	1	2005	29615886	3294	2951	3675	7.6	6.8	8.5	10.4	9.3	11.6	11.1	10	12.4
cbucale	01.20	1	2006	29815994.5	3259	2921	3636	7.4	6.6	8.2	10.1	9.1	11.3	10.9	9.8	12.2
cbucale	01.20	1	2007	30001162.5	3235	2901	3606	7.2	6.4	8	9.9	8.8	11	10.8	9.7	12
cbucale	01.20	1	2008	30166090.5	3213	2885	3580	7	6.3	7.8	9.6	8.6	10.7	10.7	9.6	11.9
cbucale	01.20	1	2009	30322692	3197	2872	3557	6.8	6.1	7.6	9.4	8.5	10.5	10.5	9.5	11.7
cbucale	01.20	1	2010	30475789	3181	2859	3538	6.7	6	7.4	9.2	8.3	10.3	10.4	9.4	11.6
cbucale	01.20	1	2011	30626399	3169	2848	3524	6.5	5.9	7.3	9	8.1	10.1	10.3	9.3	11.5
cbucale	01.20	1	2012	30782589.5	3159	2837	3516	6.4	5.7	7.1	8.9	8	9.9	10.3	9.2	11.4
cbucale	01.20	1	2013	30945466.5	3153	2828	3512	6.3	5.6	7	8.7	7.8	9.7	10.2	9.1	11.3
cbucale	01.20	1	2014	31086155	3143	2817	3510	6.1	5.5	6.9	8.5	7.6	9.5	10.1	9.1	11.3
cbucale	01.20	1	2015	31210477	3136	2805	3511	6	5.4	6.7	8.4	7.5	9.4	10	9	11.2
cbucale	01.20	1	2016	31332989	3132	2792	3515	5.9	5.3	6.6	8.2	7.3	9.2	10	8.9	11.2
cbucale	01.20	1	2017	31446345.5	3129	2779	3522	5.8	5.1	6.5	8.1	7.2	9.1	10	8.8	11.2
cbucale	01.20	1	2018	31500281	3106	2750	3511	5.7	5	6.4	8	7	9	9.9	8.7	11.1
cbucale	01.20	2	1990	29102652.5	708	649	772	1.5	1.4	1.7	2.1	2	2.3	2.4	2.2	2.7
cbucale	01.20	2	1991	29243858.5	728	670	789	1.6	1.4	1.7	2.2	2	2.4	2.5	2.3	2.7
cbucale	01.20	2	1992	29384564	747	691	808	1.6	1.5	1.7	2.2	2	2.4	2.5	2.4	2.8
cbucale	01.20	2	1993	29509640.5	766	711	828	1.6	1.5	1.8	2.2	2.1	2.4	2.6	2.4	2.8
cbucale	01.20	2	1994	29620022	787	732	850	1.6	1.5	1.8	2.3	2.1	2.5	2.7	2.5	2.9
cbucale	01.20	2	1995	29727493.5	811	753	872	1.7	1.5	1.8	2.3	2.2	2.5	2.7	2.5	2.9
cbucale	01.20	2	1996	29830389.5	832	775	895	1.7	1.6	1.8	2.4	2.2	2.5	2.8	2.6	3
cbucale	01.20	2	1997	29931526	856	797	918	1.7	1.6	1.9	2.4	2.2	2.6	2.9	2.7	3.1
cbucale	01.20	2	1998	30036624.5	876	820	942	1.8	1.6	1.9	2.4	2.3	2.6	2.9	2.7	3.1
cbucale	01.20	2	1999	30191342.5	901	844	967	1.8	1.7	1.9	2.5	2.3	2.7	3	2.8	3.2
cbucale	01.20	2	2000	30404491.5	930	870	995	1.8	1.7	1.9	2.5	2.3	2.7	3.1	2.9	3.3
cbucale	01.20	2	2001	30631830.5	958	897	1024	1.8	1.7	2	2.5	2.4	2.7	3.1	2.9	3.3
cbucale	01.20	2	2002	30860462.5	989	924	1052	1.9	1.7	2	2.6	2.4	2.8	3.2	3	3.4
cbucale	01.20	2	2003	31083389.5	1014	952	1082	1.9	1.8	2	2.6	2.4	2.8	3.3	3.1	3.5
cbucale	01.20	2	2004	31319326	1045	982	1113	1.9	1.8	2	2.6	2.5	2.8	3.3	3.1	3.6
cbucale	01.20	2	2005	31565612.5	1077	1014	1148	1.9	1.8	2.1	2.7	2.5	2.9	3.4	3.2	3.6
cbucale	01.20	2	2006	31781491	1112	1046	1181	1.9	1.8	2.1	2.7	2.5	2.9	3.5	3.3	3.7
cbucale	01.20	2	2007	31963889.5	1144	1080	1215	2	1.9	2.1	2.7	2.6	2.9	3.6	3.4	3.8
cbucale	01.20	2	2008	32134197	1179	1115	1249	2	1.9	2.1	2.8	2.6	2.9	3.7	3.5	3.9
cbucale	01.20	2	2009	32292780	1215	1149	1285	2	1.9	2.1	2.8	2.7	3	3.8	3.6	4
cbucale	01.20	2	2010	32442000.5	1252	1184	1323	2	1.9	2.2	2.9	2.7	3	3.9	3.7	4.1
cbucale	01.20	2	2011	32596758.5	1290	1220	1365	2.1	2	2.2	2.9	2.7	3.1	4	3.7	4.2
cbucale	01.20	2	2012	32754328.5	1327	1254	1410	2.1	2	2.2	2.9	2.8	3.1	4.1	3.8	4.3
cbucale	01.20	2	2013	32917445	1370	1288	1458	2.1	2	2.3	3	2.8	3.2	4.2	3.9	4.4
cbucale	01.20	2	2014	33078234.5	1412	1321	1509	2.2	2	2.3	3	2.8	3.2	4.3	4	4.6
cbucale	01.20	2	2015	33219169.5	1456	1353	1562	2.2	2	2.4	3.1	2.8	3.3	4.4	4.1	4.7
cbucale	01.20	2	2016	33346795	1496	1384	1615	2.2	2	2.4	3.1	2.9	3.4	4.5	4.2	4.8
cbucale	01.20	2	2017	33463250.5	1539	1414	1671	2.3	2.1	2.5	3.2	2.9	3.4	4.6	4.2	5
cbucale	01.20	2	2018	33517815	1571	1437	1721	2.3	2.1	2.5	3.2	2.9	3.5	4.7	4.3	5.1
sali	01.30	1	1990	27606178	275	252	300	0.7	0.7	0.8	1	0.9	1.1	1	0.9	1.1
sali	01.30	1	1991	27731738.5	280	256	304	0.7	0.7	0.8	1	0.9	1.1	1	0.9	1.1
sali	01.30	1	1992	27855283	282	260	309	0.7	0.7	0.8	1	0.9	1.1	1	0.9	1.1
sali	01.30	1	1993	27957444	288	264	314	0.7	0.7	0.8	1	0.9	1.1	1	0.9	1.1
sali	01.30	1	1994	28038749.5	293	268	318	0.7	0.7	0.8	1	0.9	1.1	1	1	1.1
sali	01.30	1	1995	28116753.5	297	272	323	0.7	0.7	0.8	1	0.9	1.1	1.1	1	1.1
sali	01.30	1	1996	28195599	302	276	328	0.7	0.7	0.8	1	0.9	1.1	1.1	1	1.2
sali	01.30	1	1997	28275964	306	280	333	0.7	0.7	0.8	1	0.9	1.1	1.1	1	1.2
sali	01.30	1	1998	28361163	311	284	337	0.7	0.7	0.8	1	0.9	1.1	1.1	1	1.2
sali	01.30	1	1999	28486063	315	288	343	0.7	0.7	0.8	1	0.9	1.1	1.1	1	1.2
sali	01.30	1	2000	28657893.5	320	293	348	0.7	0.7	0.8	1	0.9	1.1	1.1	1	1.2
sali	01.30	1	2001	28844405	327	298	354	0.7	0.7	0.8	1	0.9	1.1	1.1	1	1.2
sali	01.30	1	2002	29033407.5	331	303	361	0.7	0.7	0.8	1	0.9	1.1	1.1	1	1.2
sali	01.30	1	2003	29220241.5	337	309	367	0.7	0.7	0.8	1	0.9	1.1	1.2	1.1	1.3
sali	01.30	1	2004	29415016.5	343	314	374	0.7	0.7	0.8	1	0.9	1.1	1.2	1.1	1.3
sali	01.30	1	2005	29615886	349	320	381	0.7	0.7	0.8	1	0.9	1.1	1.2	1.1	1.3
sali	01.30	1	2006	29815994.5	357	327	388	0.7	0.7	0.8	1	0.9	1.1	1.2	1.1	1.3
sali	01.30	1	2007	30001162.5	362	333	395	0.7	0.7	0.8	1	0.9	1.1	1.2	1.1	1.3
sali	01.30	1	2008	30166090.5	369	339	403	0.7	0.7	0.8	1	0.9	1.1	1.2	1.1	1.3
sali	01.30	1	2009	30322692	374	345	410	0.7	0.7	0.8	1	0.9	1.1	1.2	1.1	1.4
sali	01.30	1	2010	30475789	383	352	418	0.7	0.7	0.8	1	0.9	1.1	1.3	1.2	1.4
sali	01.30	1	2011	30626399	391	358	426	0.7	0.7	0.8	1	0.9	1.1	1.3	1.2	1.4
sali	01.30	1	2012	30782589.5	396	365	434	0.7	0.7	0.8	1	0.9	1.1	1.3	1.2	1.4
sali	01.30	1	2013	30945466.5	405	372	442	0.7	0.7	0.8	1	0.9	1.1	1.3	1.2	1.4
sali	01.30	1	2014	31086155	411	379	450	0.7	0.7	0.8	1	0.9	1.1	1.3	1.2	1.4
sali	01.30	1	2015	31210477	420	385	458	0.7	0.7	0.8	1	0.9	1.1	1.3	1.2	1.5
sali	01.30	1	2016	31332989	427	392	466	0.7	0.7	0.8	1	0.9	1.1	1.4	1.3	1.5
sali	01.30	1	2017	31446345.5	434	399	474	0.7	0.7	0.8	1	0.9	1.1	1.4	1.3	1.5
sali	01.30	1	2018	31500281	437	402	478	0.7	0.7	0.8	1	0.9	1.1	1.4	1.3	1.5
sali	01.30	2	1990	29102652.5	185	160	213	0.4	0.4	0.5	0.5	0.5	0.6	0.6	0.6	0.7
sali	01.30	2	1991	29243858.5	190	167	217	0.4	0.4	0.5	0.6	0.5	0.6	0.6	0.6	0.7
sali	01.30	2	1992	29384564	196	173	222	0.4	0.4	0.5	0.6	0.5	0.6	0.7	0.6	0.8
sali	01.30	2	1993	29509640.5	203	179	227	0.4	0.4	0.5	0.6	0.5	0.7	0.7	0.6	0.8
sali	01.30	2	1994	29620022	207	185	233	0.4	0.4	0.5	0.6	0.5	0.7	0.7	0.6	0.8
sali	01.30	2	1995	29727493.5	215	191	238	0.5	0.4	0.5	0.6	0.5	0.7	0.7	0.6	0.8
sali	01.30	2	1996	29830389.5	218	196	243	0.5	0.4	0.5	0.6	0.5	0.7	0.7	0.7	0.8
sali	01.30	2	1997	29931526	224	202	249	0.5	0.4	0.5	0.6	0.6	0.7	0.7	0.7	0.8
sali	01.30	2	1998	30036624.5	230	207	254	0.5	0.4	0.5	0.6	0.6	0.7	0.8	0.7	0.8
sali	01.30	2	1999	30191342.5	235	212	259	0.5	0.4	0.5	0.6	0.6	0.7	0.8	0.7	0.9
sali	01.30	2	2000	30404491.5	242	218	265	0.5	0.4	0.5	0.6	0.6	0.7	0.8	0.7	0.9
sali	01.30	2	2001	30631830.5	246	223	271	0.5	0.4	0.5	0.6	0.6	0.7	0.8	0.7	0.9
sali	01.30	2	2002	30860462.5	252	229	277	0.5	0.4	0.5	0.6	0.6	0.7	0.8	0.7	0.9
sali	01.30	2	2003	31083389.5	260	235	283	0.5	0.5	0.5	0.7	0.6	0.7	0.8	0.8	0.9
sali	01.30	2	2004	31319326	264	240	288	0.5	0.5	0.6	0.7	0.6	0.7	0.8	0.8	0.9
sali	01.30	2	2005	31565612.5	270	246	294	0.5	0.5	0.6	0.7	0.6	0.7	0.9	0.8	0.9
sali	01.30	2	2006	31781491	275	252	299	0.5	0.5	0.6	0.7	0.6	0.7	0.9	0.8	0.9
sali	01.30	2	2007	31963889.5	281	257	304	0.5	0.5	0.6	0.7	0.6	0.7	0.9	0.8	1
sali	01.30	2	2008	32134197	284	262	308	0.5	0.5	0.6	0.7	0.6	0.7	0.9	0.8	1
sali	01.30	2	2009	32292780	290	266	313	0.5	0.5	0.6	0.7	0.6	0.7	0.9	0.8	1
sali	01.30	2	2010	32442000.5	295	269	318	0.5	0.5	0.6	0.7	0.6	0.7	0.9	0.8	1
sali	01.30	2	2011	32596758.5	298	272	324	0.5	0.5	0.6	0.7	0.6	0.7	0.9	0.8	1
sali	01.30	2	2012	32754328.5	302	275	331	0.5	0.5	0.6	0.7	0.6	0.8	0.9	0.8	1
sali	01.30	2	2013	32917445	307	277	339	0.5	0.5	0.6	0.7	0.6	0.8	0.9	0.8	1
sali	01.30	2	2014	33078234.5	311	278	347	0.5	0.5	0.6	0.7	0.6	0.8	0.9	0.8	1.1
sali	01.30	2	2015	33219169.5	317	279	356	0.5	0.5	0.6	0.7	0.6	0.8	1	0.8	1.1
sali	01.30	2	2016	33346795	322	280	365	0.5	0.5	0.6	0.7	0.6	0.8	1	0.8	1.1
sali	01.30	2	2017	33463250.5	324	280	375	0.5	0.5	0.6	0.7	0.6	0.8	1	0.8	1.1
sali	01.30	2	2018	33517815	328	279	383	0.5	0.4	0.6	0.7	0.6	0.8	1	0.8	1.1
bloro	01.40	1	1990	27606178	4172	3777	4610	12.2	11	13.5	16.5	15	18.3	15.1	13.7	16.7
bloro	01.40	1	1991	27731738.5	4161	3767	4597	12	10.9	13.3	16.3	14.7	18	15	13.6	16.6
bloro	01.40	1	1992	27855283	4146	3752	4583	11.8	10.7	13.1	16	14.5	17.7	14.9	13.5	16.5
bloro	01.40	1	1993	27957444	4122	3727	4559	11.6	10.5	12.8	15.7	14.2	17.3	14.7	13.3	16.3
bloro	01.40	1	1994	28038749.5	4082	3689	4516	11.3	10.2	12.5	15.3	13.8	16.9	14.6	13.2	16.1
bloro	01.40	1	1995	28116753.5	4017	3632	4444	11	9.9	12.1	14.9	13.4	16.4	14.3	12.9	15.8
bloro	01.40	1	1996	28195599	3928	3555	4343	10.6	9.6	11.7	14.4	13	15.9	13.9	12.6	15.4
bloro	01.40	1	1997	28275964	3830	3466	4229	10.2	9.2	11.2	13.8	12.5	15.2	13.5	12.3	15
