SITE	NUMERO_SITE	SEXE	ANNEE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TSM_I_PRED	TSM_I_PRED_INF	TSM_I_PRED_SUP	TSE_I_PRED	TSE_I_PRED_INF	TSE_I_PRED_SUP	TB_I_PRED	TB_I_PRED_INF	TB_I_PRED_SUP
hodgkin	31.00	2	2010	32442000.5	841	806	880	2.6	2.5	2.7	2.6	2.5	2.8	2.6	2.5	2.7
hodgkin	31.00	2	2011	32596758.5	844	808	887	2.6	2.5	2.8	2.6	2.5	2.8	2.6	2.5	2.7
hodgkin	31.00	2	2012	32754328.5	852	809	897	2.6	2.5	2.8	2.7	2.5	2.8	2.6	2.5	2.7
hodgkin	31.00	2	2013	32917445	856	808	909	2.7	2.5	2.8	2.7	2.5	2.8	2.6	2.5	2.8
hodgkin	31.00	2	2014	33078234.5	864	807	923	2.7	2.5	2.9	2.7	2.5	2.9	2.6	2.4	2.8
hodgkin	31.00	2	2015	33219169.5	868	805	939	2.7	2.5	2.9	2.7	2.5	2.9	2.6	2.4	2.8
hodgkin	31.00	2	2016	33346795	876	802	955	2.7	2.5	3	2.7	2.5	3	2.6	2.4	2.9
hodgkin	31.00	2	2017	33463250.5	882	800	972	2.7	2.4	3	2.7	2.5	3	2.6	2.4	2.9
hodgkin	31.00	2	2018	33517815	887	796	989	2.7	2.4	3.1	2.7	2.5	3.1	2.6	2.4	3
lmnh	32.00	1	1990	27606178	6974	6656	7309	19	18.1	19.9	25.7	24.6	27	25.3	24.1	26.5
lmnh	32.00	1	1991	27731738.5	7255	6933	7599	19.5	18.6	20.4	26.4	25.3	27.7	26.2	25	27.4
lmnh	32.00	1	1992	27855283	7555	7219	7907	20	19.1	20.9	27.2	26	28.4	27.1	25.9	28.4
lmnh	32.00	1	1993	27957444	7861	7511	8227	20.5	19.6	21.4	27.9	26.7	29.2	28.1	26.9	29.4
