Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"40141 Lahosse, France",40141,2,COM,Lahosse,212.9594595,2.912664741,0.686656439
"79147 Largeasse, France",79147,6.166666667,COM,Largeasse,508.8346188,8.979524603,0.686747566
"79304 Sansais, France",79304,3.166666667,COM,Sansais,520.1965872,4.610952343,0.686770635
"77119 Clos-Fontaine, France",77119,1.166666667,COM,Clos-Fontaine,163.4879032,1.698690063,0.686803727
"52137 Colmier-le-Bas, France",52137,0.166666667,COM,Colmier-le-Bas,16,0.24266586,0.686815471
"12191 Privezac, France",12191,2.666666667,COM,Privezac,228.2244269,3.881866101,0.68695483
"79349 Villemain, France",79349,2,COM,Villemain,125.16,2.91103351,0.687041215
"45334 Vieilles-Maisons-sur-Joudry, France",45334,3.166666667,COM,Vieilles-Maisons-sur-Joudry,422.6863668,4.60741863,0.687297361
"55469 Sassey-sur-Meuse, France",55469,0.666666667,COM,Sassey-sur-Meuse,48,0.969980019,0.687299381
"77003 Amponville, France",77003,1.666666667,COM,Amponville,226.6398139,2.424903428,0.687312595
"76390 Les Loges, France",76390,5.666666667,COM,Les Loges,748.1844485,8.244663372,0.687313285
"31205 Gagnac-sur-Garonne, France",31205,10.83333333,COM,Gagnac-sur-Garonne,1908.992714,15.7612078,0.687341571
"70502 Tincey-et-Pontrebeau, France",70502,0.833333333,COM,Tincey-et-Pontrebeau,65.77380952,1.212393366,0.687345672
"70293 Lambrey, France",70293,0.833333333,COM,Lambrey,44.67532468,1.212270525,0.687415322
"2020 Any-Martin-Rieux, France",2020,3.166666667,COM,Any-Martin-Rieux,309.6791209,4.606589778,0.687421025
"90067 Menoncourt, France",90067,1.333333333,COM,Menoncourt,249.555,1.939591353,0.687430025
"1083 Chaneins, France",1083,3.666666667,COM,Chaneins,588.3848584,5.33386873,0.687430991
"14552 Ryes, France",14552,3.166666667,COM,Ryes,377.8737475,4.606500489,0.687434349
"37178 Panzoult, France",37178,4.666666667,COM,Panzoult,430.4416672,6.788495961,0.687437496
"1088 Charnoz-sur-Ain, France",1088,3,COM,Charnoz-sur-Ain,564,4.363582509,0.687508485
"76293 Fultot, France",76293,1.5,COM,Fultot,153,2.181768199,0.68751575
"21558 Sainte-Marie-la-Blanche, France",21558,4.833333333,COM,Sainte-Marie-la-Blanche,662.2482098,7.029901919,0.687539227
"44032 La Chapelle-Heulin, France",44032,11.33333333,COM,La Chapelle-Heulin,1999.329244,16.48248292,0.68759867
"39586 Aresches, France",39586,0.5,COM,Aresches,16.46875,0.727162717,0.68760401
"65031 Arreau, France",65031,6.333333333,COM,Arreau,577.3943171,9.210025482,0.68765644
"9312 La Tour-du-Crieu, France",9312,18.33333333,COM,La Tour-du-Crieu,2079.716594,26.6604147,0.687661221
"24089 Cazoulès, France",24089,4.5,COM,Cazoulès,335.4123822,6.543886012,0.68766479
"65062 Barbazan-Debat, France",65062,23.5,COM,Barbazan-Debat,2440.652363,34.17255576,0.687686346
"26179 Mercurol-Veaunes, France",26179,11.83333333,COM,Mercurol-Veaunes,1727,17.20742966,0.687687445
"15176 Saint-Chamant, France",15176,2.166666667,COM,Saint-Chamant,189,3.150639254,0.687691129
"70288 Hyet, France",70288,0.666666667,COM,Hyet,79.61016949,0.969347245,0.687748039
"53219 Saint-Georges-Buttavent, France",53219,8.666666667,COM,Saint-Georges-Buttavent,1016.073066,12.60084746,0.687784429
"7304 Salavas, France",7304,4.333333333,COM,Salavas,493.4826045,6.300376254,0.687789611
"25308 Les Hôpitaux-Vieux, France",25308,1.5,COM,Les Hôpitaux-Vieux,272,2.180892694,0.687791749
"32381 Saint-Jean-le-Comtal, France",32381,3.166666667,COM,Saint-Jean-le-Comtal,282.849066,4.603817665,0.687834944
"71360 Prissé, France",71360,11,COM,Prissé,1337.77044,15.99168914,0.687857293
"17082 Champagnac, France",17082,2.333333333,COM,Champagnac,319.3731105,3.391717653,0.687950346
"81309 Vaour, France",81309,1.833333333,COM,Vaour,204.0630915,2.664894361,0.687957226
"27569 Saint-Martin-du-Tilleul, France",27569,1.166666667,COM,Saint-Martin-du-Tilleul,146.9635628,1.695824334,0.687964339
"38115 Saint-Martin-de-la-Cluze, France",38115,3.833333333,COM,Saint-Martin-de-la-Cluze,528.4972826,5.571689676,0.688001945
"25439 Ougney-Douvot, France",25439,1.833333333,COM,Ougney-Douvot,187.7178036,2.664616201,0.688029042
"59342 Lez-Fontaine, France",59342,1.333333333,COM,Lez-Fontaine,158.8908297,1.937865053,0.688042406
"23016 Banize, France",23016,1.5,COM,Banize,124.3516484,2.18004323,0.68805975
"70237 Fleurey-lès-Lavoncourt, France",70237,1,COM,Fleurey-lès-Lavoncourt,74.48,1.453323309,0.68807814
"21473 Ouges, France",21473,5.666666667,COM,Ouges,665,8.235108049,0.688110785
"50473 Saint-Georges-d'Elle, France",50473,2.166666667,COM,Saint-Georges-d'Elle,272.5714286,3.148641553,0.688127445
"49107 Cornillé-les-Caves, France",49107,2.5,COM,Cornillé-les-Caves,315,3.633010051,0.688134623
"49369 Vernoil-le-Fourrier, France",49369,12.33333333,COM,Vernoil-le-Fourrier,918,17.92272144,0.688139543
"55317 Manheulles, France",55317,0.666666667,COM,Manheulles,111.1532847,0.9687423,0.688177513
"47047 Cambes, France",47047,1.333333333,COM,Cambes,133,1.937434102,0.68819545
"63394 Saint-Romain, France",63394,1.833333333,COM,Saint-Romain,136.2028474,2.66384513,0.688228198
"81073 Crespinet, France",81073,1,COM,Crespinet,115.9655172,1.452888805,0.688283919
"81010 Ambialet, France",81010,3.333333333,COM,Ambialet,330.1477516,4.84292666,0.688289038
"12221 Saint-Félix-de-Lunel, France",12221,3.166666667,COM,Saint-Félix-de-Lunel,290.9877802,4.600469278,0.688335575
"70143 Chauvirey-le-Châtel, France",70143,1,COM,Chauvirey-le-Châtel,78.63414634,1.452703305,0.688371808
"80752 Thézy-Glimont, France",80752,2,COM,Thézy-Glimont,429.5982888,2.905363312,0.688382066
"37191 Razines, France",37191,1.666666667,COM,Razines,164,2.421052457,0.688405847
"76105 Le Bocasse, France",76105,2.833333333,COM,Le Bocasse,495.5927722,4.115640125,0.688430778
"21062 Bellenot-sous-Pouilly, France",21062,1.333333333,COM,Bellenot-sous-Pouilly,154.8973214,1.936708565,0.688453264
"53143 Maisoncelles-du-Maine, France",53143,1.666666667,COM,Maisoncelles-du-Maine,314.5536272,2.420760895,0.68848876
"2368 Haramont, France",2368,3.666666667,COM,Haramont,417,5.325577865,0.688501184
"18283 Villecelin, France",18283,0.833333333,COM,Villecelin,78.4047619,1.210296059,0.688536765
"78601 Sonchamp, France",78601,8,COM,Sonchamp,1090.7977,11.61875849,0.688541724
"72078 Chérancé, France",72078,3,COM,Chérancé,243.8370548,4.356966657,0.688552435
"9229 Le Peyrat, France",9229,4,COM,Le Peyrat,357.8944414,5.809256748,0.688556243
"72010 Asnières-sur-Vègre, France",72010,2,COM,Asnières-sur-Vègre,266.7443968,2.904522672,0.688581301
"61130 Courgeoût, France",61130,2.666666667,COM,Courgeoût,318,3.872550878,0.688607264
"52229 Grenant, France",52229,1.333333333,COM,Grenant,114.527027,1.936218664,0.688627456
"2751 Trucy, France",2751,0.833333333,COM,Trucy,88.61538462,1.210105964,0.688644927
"33516 Soussac, France",33516,1,COM,Soussac,103.5454941,1.452125834,0.688645554
"2122 Brie, France",2122,0.333333333,COM,Brie,42.21818182,0.484034253,0.688656498
"40235 Poyanne, France",40235,3.666666667,COM,Poyanne,432.886028,5.323672551,0.688747595
