Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"60276 Godenvillers, France",60276,0.5,COM,Godenvillers,128.5625,0.97192223,0.514444453
"7108 Jaunac, France",7108,0.5,COM,Jaunac,86,0.971828315,0.514494168
"16184 Lichères, France",16184,0.666666667,COM,Lichères,83,1.295275998,0.514690821
"63220 Mazoires, France",63220,0.333333333,COM,Mazoires,68.70833333,0.647567102,0.514747171
"27411 Moisville, France",27411,1.333333333,COM,Moisville,161.7900051,2.589654211,0.514869255
"25328 Larnod, France",25328,2.833333333,COM,Larnod,532,5.502962614,0.514874175
"21274 Foissy, France",21274,0.833333333,COM,Foissy,130,1.61826054,0.514956222
"66033 Camélas, France",66033,3.166666667,COM,Camélas,378.4575163,6.149374977,0.514957484
"51177 Coulommes-la-Montagne, France",51177,0.833333333,COM,Coulommes-la-Montagne,148.3981043,1.618208526,0.514972774
"6063 Gars, France",6063,0.666666667,COM,Gars,70,1.294301622,0.51507829
"38090 Château-Bernard, France",38090,1.166666667,COM,Château-Bernard,224.8389513,2.264316953,0.51524
"32100 Cazeneuve, France",32100,0.833333333,COM,Cazeneuve,110.3067485,1.617306884,0.515259869
"53009 Arquenay, France",53009,2.333333333,COM,Arquenay,379.7134328,4.528325037,0.515275143
"9007 Allières, France",9007,0.333333333,COM,Allières,47.34246575,0.646831156,0.515332835
"28010 Argenvilliers, France",28010,1.5,COM,Argenvilliers,217.9938462,2.91054229,0.515367877
"71574 Verzé, France",71574,3.333333333,COM,Verzé,540.2703198,6.466383959,0.515486453
"15028 Carlat, France",15028,2,COM,Carlat,245.2825656,3.879647922,0.515510696
"38460 Saint-Sulpice-des-Rivoires, France",38460,1.833333333,COM,Saint-Sulpice-des-Rivoires,290.324826,3.556134269,0.515541089
"26001 Solaure en Diois, France",26001,2.666666667,COM,Solaure en Diois,314,5.171866488,0.515610113
"60484 Oudeuil, France",60484,0.833333333,COM,Oudeuil,170.1760563,1.616041306,0.515663387
"21135 Champagne-sur-Vingeanne, France",21135,1.666666667,COM,Champagne-sur-Vingeanne,198.5372168,3.23129044,0.515789805
"40165 Luglon, France",40165,2,COM,Luglon,239.9368421,3.877230797,0.515832073
"65445 Tilhouse, France",65445,1.666666667,COM,Tilhouse,191.8608696,3.230838421,0.515861968
"31138 Charlas, France",31138,1.833333333,COM,Charlas,186.96,3.553279826,0.515955237
"54202 Fontenoy-sur-Moselle, France",54202,1,COM,Fontenoy-sur-Moselle,226.4086022,1.938150369,0.515955839
"51310 Jouy-lès-Reims, France",51310,1,COM,Jouy-lès-Reims,139.6093023,1.937702769,0.516075023
"4077 Entrevennes, France",4077,1.166666667,COM,Entrevennes,140.3488372,2.260389313,0.516135278
"61402 Saint-Hilaire-de-Briouze, France",61402,1.5,COM,Saint-Hilaire-de-Briouze,192,2.905254779,0.516305837
"10237 Mesnil-Saint-Loup, France",10237,2.333333333,COM,Mesnil-Saint-Loup,370,4.518201521,0.516429673
"40050 Bostens, France",40050,1,COM,Bostens,146.64,1.934858478,0.516833666
"89108 Chitry, France",89108,2.166666667,COM,Chitry,257.9120235,4.190812075,0.517004014
"46167 Lentillac-du-Causse, France",46167,1.166666667,COM,Lentillac-du-Causse,73.03636364,2.256346276,0.517060116
"70369 Mont-Saint-Léger, France",70369,0.333333333,COM,Mont-Saint-Léger,33.28301887,0.644571781,0.517139197
"46320 Tour-de-Faure, France",46320,2,COM,Tour-de-Faure,254.384858,3.866914833,0.517208184
"55523 Vacherauville, France",55523,0.5,COM,Vacherauville,117.220339,0.966412241,0.517377552
"55460 Saint-Julien-sous-les-Côtes, France",55460,0.666666667,COM,Saint-Julien-sous-les-Côtes,88.36428571,1.288340787,0.517461431
"16342 Saint-Palais-du-Né, France",16342,1.666666667,COM,Saint-Palais-du-Né,209.8618421,3.220018588,0.517595356
"85289 La Tardière, France",85289,5.666666667,COM,La Tardière,941.005853,10.94736684,0.51762828
"10425 Villery, France",10425,1.833333333,COM,Villery,195.7169118,3.541703717,0.517641644
"49090 Cheffes, France",49090,3.833333333,COM,Cheffes,587.4281277,7.404459378,0.517706039
"21695 La Villeneuve-les-Convers, France",21695,0.333333333,COM,La Villeneuve-les-Convers,39,0.643842297,0.517725125
"97360 Apatou, France",97360,11.33333333,COM,Apatou,2615.711185,21.89013298,0.517737071
"53098 Fontaine-Couverte, France",53098,2,COM,Fontaine-Couverte,269.5644028,3.861459141,0.517938926
"9171 Lordat, France",9171,0.166666667,COM,Lordat,48.70588235,0.321722975,0.51804403
"14122 La Caine, France",14122,0.5,COM,La Caine,88,0.96507686,0.51809345
"34137 Liausson, France",34137,1.166666667,COM,Liausson,113.4563758,2.249870164,0.518548441
"54534 Trondes, France",54534,1.666666667,COM,Trondes,300.8432122,3.213506349,0.518644274
"14297 Gavrus, France",14297,0.666666667,COM,Gavrus,304.7303152,1.285400879,0.518644944
"17476 Villexavier, France",17476,1.333333333,COM,Villexavier,203.7490775,2.570470062,0.51871187
"34102 Fontanès, France",34102,1.166666667,COM,Fontanès,245.2931034,2.24907559,0.518731639
"51273 Givry-lès-Loisy, France",51273,0.5,COM,Givry-lès-Loisy,69.05479452,0.963736538,0.518813991
"36080 Frédille, France",36080,0.5,COM,Frédille,47.66197183,0.963682661,0.518842997
"47037 Bournel, France",47037,1.833333333,COM,Bournel,168.972332,3.533070618,0.518906507
"49298 Saint-Léger-de-Linières, France",49298,9.166666667,COM,Saint-Léger-de-Linières,2372.359577,17.6627493,0.518983003
"87188 Saint-Yrieix-sous-Aixe, France",87188,2.166666667,COM,Saint-Yrieix-sous-Aixe,301.9627083,4.174742904,0.518994035
"39527 Taxenne, France",39527,0.666666667,COM,Taxenne,100,1.284400762,0.519048794
"16372 Souffrignac, France",16372,0.666666667,COM,Souffrignac,92.87313433,1.284379328,0.519057456
"69036 Cercié, France",69036,3.833333333,COM,Cercié,780.5553603,7.384266925,0.519121718
"88411 Saint-Baslemont, France",88411,0.5,COM,Saint-Baslemont,61.225,0.963040831,0.519188786
"70490 Servigney, France",70490,0.5,COM,Servigney,86.29268293,0.962973421,0.51922513
"48167 Saint-Laurent-de-Veyrès, France",48167,0.333333333,COM,Saint-Laurent-de-Veyrès,23,0.641912124,0.519281878
"33072 Brannens, France",33072,1,COM,Brannens,162,1.924161857,0.519706799
"15025 Albepierre-Bredons, France",15025,1.666666667,COM,Albepierre-Bredons,185.5822785,3.206061528,0.519848622
"2B057 Canale-di-Verde, France",2B057,2.333333333,COM,Canale-di-Verde,259.1387772,4.488385005,0.519860335
"80130 Bovelles, France",80130,1.5,COM,Bovelles,295.7447307,2.885359391,0.519865915
"13008 Aurons, France",13008,2.166666667,COM,Aurons,408,4.167515814,0.519894048
"14461 Mutrécy, France",14461,1.166666667,COM,Mutrécy,283.1255342,2.243639542,0.519988458
"32368 Sainte-Christie, France",32368,2.5,COM,Sainte-Christie,361,4.807164019,0.520057146
"2380 Hinacourt, France",2380,0.166666667,COM,Hinacourt,29.80769231,0.320407366,0.520171146
"14276 Fontaine-le-Pin, France",14276,1.166666667,COM,Fontaine-le-Pin,242.7729863,2.242734513,0.520198294
"8268 Maisoncelle-et-Villers, France",8268,0.5,COM,Maisoncelle-et-Villers,42,0.961161693,0.520203836
"80670 Revelles, France",80670,2,COM,Revelles,377.3131498,3.843799647,0.520318483
"61194 Monts-sur-Orne, France",61194,3.666666667,COM,Monts-sur-Orne,595.9959659,7.046066056,0.520384941
"57747 Wintersbourg, France",57747,1,COM,Wintersbourg,163.3857678,1.921486012,0.520430539
"5095 Le Noyer, France",5095,2,COM,Le Noyer,198,3.842476038,0.520497716
"76300 Gerville, France",76300,1,COM,Gerville,266.4313303,1.920614602,0.520666665
"14042 Baron-sur-Odon, France",14042,2.666666667,COM,Baron-sur-Odon,586.1174184,5.118837025,0.520951664
"34080 Colombières-sur-Orb, France",34080,3.5,COM,Colombières-sur-Orb,385,6.717777209,0.521005668
"39103 La Chapelle-sur-Furieuse, France",39103,1.333333333,COM,La Chapelle-sur-Furieuse,210,2.55903541,0.521029654
"26371 Véronne, France",26371,0.333333333,COM,Véronne,35.76086957,0.639693318,0.521083032
"60071 Biermont, France",60071,0.666666667,COM,Biermont,121.699422,1.279330692,0.521105818
"79293 Saint-Rémy, France",79293,3.333333333,COM,Saint-Rémy,708.7766237,6.395259268,0.521219421
"48163 Saint-Julien-des-Points, France",48163,0.833333333,COM,Saint-Julien-des-Points,92.30355826,1.598711918,0.521252969
"81246 Sainte-Cécile-du-Cayrou, France",81246,0.833333333,COM,Sainte-Cécile-du-Cayrou,81.53097345,1.598652567,0.521272321
"31577 Vignaux, France",31577,0.666666667,COM,Vignaux,105,1.278823344,0.521312556
"32453 Tourrenquets, France",32453,0.666666667,COM,Tourrenquets,90,1.278750357,0.521342311
"66047 Caudiès-de-Conflent, France",66047,0.166666667,COM,Caudiès-de-Conflent,13,0.319674211,0.52136413
"10392 Vallant-Saint-Georges, France",10392,2.166666667,COM,Vallant-Saint-Georges,269.5,4.155615455,0.521382859
"8461 Vandy, France",8461,1,COM,Vandy,146,1.917970707,0.521384397
"39575 Le Villey, France",39575,0.5,COM,Le Villey,41,0.958778798,0.521496722
"51093 Brugny-Vaudancourt, France",51093,1.5,COM,Brugny-Vaudancourt,334.2845452,2.875932987,0.521569872
"25554 Surmont, France",25554,1,COM,Surmont,93.61983471,1.916229026,0.521858289
"25162 Corcelles-Ferrières, France",25162,0.5,COM,Corcelles-Ferrières,131.8301887,0.958099022,0.521866726
"65472 Villefranque, France",65472,0.5,COM,Villefranque,86.36486486,0.958051729,0.521892488
"70330 Mandrevillars, France",70330,0.666666667,COM,Mandrevillars,186.2524272,1.27737116,0.521905212
"81254 Saint-Jean-de-Marcel, France",81254,2.5,COM,Saint-Jean-de-Marcel,277.0421053,4.790011781,0.521919384
"57767 Stuckange, France",57767,3.5,COM,Stuckange,741.8322719,6.705258016,0.521978422
"39378 Les Trois-Châteaux, France",39378,4.333333333,COM,Les Trois-Châteaux,529.605107,8.300397654,0.522063341
