Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"86279 Vaux-sur-Vienne, France",86279,3.666666667,COM,Vaux-sur-Vienne,380.4105508,4.349782533,0.842954019
"11173 Hounoux, France",11173,1,COM,Hounoux,86.05882353,1.186289436,0.8429646
"25103 Busy, France",25103,3.666666667,COM,Busy,421.8363768,4.349716573,0.842966801
"15190 Saint-Hippolyte, France",15190,1.666666667,COM,Saint-Hippolyte,78.57142857,1.977111349,0.842980679
"12026 Bertholène, France",12026,7.833333333,COM,Bertholène,759.2742335,9.292353822,0.842986985
"7298 Saint-Symphorien-sous-Chomérac, France",7298,3.833333333,COM,Saint-Symphorien-sous-Chomérac,491.7942042,4.547306915,0.842989797
"73300 Tresserve, France",73300,37.16666667,COM,Tresserve,2196.780523,44.08743505,0.84302175
"37024 Benais, France",37024,8.166666667,COM,Benais,698.6325401,9.687104481,0.843045172
"81018 Arthès, France",81018,20.16666667,COM,Arthès,1698.717792,23.92117134,0.843046788
"33194 Grézillac, France",33194,5.666666667,COM,Grézillac,515,6.721496143,0.843066268
"41035 Champigny-en-Beauce, France",41035,4.166666667,COM,Champigny-en-Beauce,389,4.942143724,0.84308893
"17184 La Gripperie-Saint-Symphorien, France",17184,3.166666667,COM,La Gripperie-Saint-Symphorien,422.8717949,3.756019194,0.843091183
"33024 Bagas, France",33024,1.833333333,COM,Bagas,188.4413793,2.174438728,0.843129452
"14754 Villers-sur-Mer, France",14754,36,COM,Villers-sur-Mer,2142.226843,42.6977201,0.843136353
"65206 Goudon, France",65206,1.833333333,COM,Goudon,198.8608696,2.174407941,0.84314139
"30257 Saint-Gervasy, France",30257,11.66666667,COM,Saint-Gervasy,1204.051205,13.83710938,0.843143343
"83071 La Londe-les-Maures, France",83071,121.5,COM,La Londe-les-Maures,7742.904213,144.1025181,0.843149735
"70500 Thieffrans, France",70500,1.5,COM,Thieffrans,130.2994012,1.778838198,0.843247015
"55385 Nixéville-Blercourt, France",55385,2.833333333,COM,Nixéville-Blercourt,340.4333889,3.359995905,0.843254996
"92046 Malakoff, France",92046,175.5,COM,Malakoff,18888.7529,208.1149889,0.843283806
"56120 Locqueltas, France",56120,9.166666667,COM,Locqueltas,1193.864093,10.87015089,0.843287895
"62581 Monchy-Cayeux, France",62581,2.666666667,COM,Monchy-Cayeux,211.3201394,3.162193457,0.843296498
"10245 Montaulin, France",10245,4.333333333,COM,Montaulin,578,5.138553759,0.843298239
"72034 Bérus, France",72034,2.666666667,COM,Bérus,327,3.16216265,0.843304713
"68167 Kirchberg, France",68167,6,COM,Kirchberg,525,7.114739554,0.843319696
"69059 Civrieux-d'Azergues, France",69059,8.333333333,COM,Civrieux-d'Azergues,925.2162121,9.881128745,0.843358441
"3021 Bègues, France",3021,1.833333333,COM,Bègues,176.2202643,2.173687164,0.843420968
"76378 Jumièges, France",76378,13.83333333,COM,Jumièges,1199.28722,16.40095763,0.843446684
"21543 Saint-Broing-les-Moines, France",21543,2.166666667,COM,Saint-Broing-les-Moines,129,2.568807631,0.843452285
"30182 Montpezat, France",30182,7.833333333,COM,Montpezat,908,9.28699781,0.843473154
"87063 Eyjeaux, France",87063,6.333333333,COM,Eyjeaux,825.0893628,7.508401224,0.843499587
"33060 Bommes, France",33060,2.666666667,COM,Bommes,337.3768083,3.161417694,0.843503429
"24108 La Chapelle-Gonaguet, France",24108,6,COM,La Chapelle-Gonaguet,706.6899792,7.113136952,0.843509698
"9275 Saint-Quirc, France",9275,1.833333333,COM,Saint-Quirc,236.3497828,2.173445838,0.843514617
"77336 Neufmoutiers-en-Brie, France",77336,3.833333333,COM,Neufmoutiers-en-Brie,580,4.544377719,0.843533168
"41145 Monthou-sur-Bièvre, France",41145,4.666666667,COM,Monthou-sur-Bièvre,522.9519206,5.532274617,0.843534891
"46284 Saint-Michel-Loubéjou, France",46284,3.666666667,COM,Saint-Michel-Loubéjou,308.9336609,4.346782056,0.843535889
"45193 Marcilly-en-Villette, France",45193,17,COM,Marcilly-en-Villette,1532.929138,20.1529822,0.843547611
"21051 Baulme-la-Roche, France",21051,0.833333333,COM,Baulme-la-Roche,67.35483871,0.987861607,0.843572953
"10207 Longueville-sur-Aube, France",10207,1.5,COM,Longueville-sur-Aube,94.23076923,1.778127884,0.843583869
"21367 Magny-Montarlot, France",21367,1.5,COM,Magny-Montarlot,176.3269962,1.778122807,0.843586278
"57709 Vescheim, France",57709,1.333333333,COM,Vescheim,194.6967742,1.5805532,0.843586494
"24237 Lembras, France",24237,11,COM,Lembras,923.1466559,13.03913438,0.843614283
"17443 Thairé, France",17443,9.333333333,COM,Thairé,1095.729541,11.0633462,0.843626618
"44136 Préfailles, France",44136,16.16666667,COM,Préfailles,976.0200264,19.16293321,0.843642593
"38377 Saint-Clair-de-la-Tour, France",38377,21.33333333,COM,Saint-Clair-de-la-Tour,2374,25.28695514,0.843649748
"42001 Aboën, France",42001,2.666666667,COM,Aboën,265.3793103,3.160856675,0.843653143
"66048 Cerbère, France",66048,16.5,COM,Cerbère,1051.293712,19.55540932,0.84375631
"52076 Bricon, France",52076,3,COM,Bricon,309.2053157,3.555465433,0.843771387
"67065 Breuschwickersheim, France",67065,10.66666667,COM,Breuschwickersheim,867.4341028,12.64122369,0.843800167
"73250 Saint-Julien-Mont-Denis, France",73250,14.16666667,COM,Saint-Julien-Mont-Denis,1230.251973,16.78874285,0.843819385
"8198 Grandpré, France",8198,5.166666667,COM,Grandpré,384,6.122825887,0.843836941
"72298 Saint-Mars-de-Locquenay, France",72298,3,COM,Saint-Mars-de-Locquenay,368.7627295,3.555126335,0.843851868
"66186 Saint-Nazaire, France",66186,20.66666667,COM,Saint-Nazaire,1916.322253,24.48921451,0.843908924
"57252 Gomelange, France",57252,3.166666667,COM,Gomelange,321,3.752269579,0.843933678
"33255 Lucmau, France",33255,1.666666667,COM,Lucmau,144.2122449,1.974687272,0.844015501
"28072 Champrond-en-Perchet, France",28072,3.166666667,COM,Champrond-en-Perchet,320.9326544,3.751903567,0.844016007
"74136 Le Grand-Bornand, France",74136,15.33333333,COM,Le Grand-Bornand,1445.768847,18.16709853,0.844016633
"37085 Courçay, France",37085,4.333333333,COM,Courçay,546.075188,5.133668623,0.844100711
"32161 Izotges, France",32161,1,COM,Izotges,81.84615385,1.184677969,0.844111249
"46001 Albas, France",46001,6.5,COM,Albas,392.9518724,7.700169096,0.844137306
"53111 La Haie-Traversaine, France",53111,2.166666667,COM,La Haie-Traversaine,291,2.566720441,0.844138159
"86221 Saint-Genest-d'Ambière, France",86221,7.833333333,COM,Saint-Genest-d'Ambière,886.8387494,9.279591354,0.844146368
"21574 Saint-Seine-sur-Vingeanne, France",21574,3.166666667,COM,Saint-Seine-sur-Vingeanne,265.770235,3.751247303,0.844163664
"72024 La Bazoge, France",72024,21.66666667,COM,La Bazoge,2398.46786,25.66603079,0.844176758
"4244 Volonne, France",4244,14.66666667,COM,Volonne,1192.163921,17.37324047,0.844210192
"6043 Coaraze, France",6043,5.5,COM,Coaraze,558,6.514923559,0.844215584
"2659 Rouvroy, France",2659,3.333333333,COM,Rouvroy,375.0629835,3.948428017,0.84421783
"83132 Solliès-Ville, France",83132,17.16666667,COM,Solliès-Ville,1774.754811,20.33397821,0.84423552
"41014 Beauchêne, France",41014,1.166666667,COM,Beauchêne,105,1.381878582,0.844261343
"33536 Le Tuzan, France",33536,1.333333333,COM,Le Tuzan,164.7626459,1.579271595,0.844271079
"16343 Saint-Preuil, France",16343,1.833333333,COM,Saint-Preuil,238.0764723,2.171446046,0.844291451
"70337 Melin, France",70337,0.666666667,COM,Melin,42,0.78960167,0.844307569
"57183 Donnelay, France",57183,1.833333333,COM,Donnelay,130,2.171399912,0.844309389
"71410 Saint-Étienne-en-Bresse, France",71410,5.166666667,COM,Saint-Étienne-en-Bresse,500,6.11938954,0.844310798
"39114 Château-Chalon, France",39114,1.666666667,COM,Château-Chalon,98.92465753,1.973837936,0.844378678
"63401 Saint-Victor-la-Rivière, France",63401,1.666666667,COM,Saint-Victor-la-Rivière,169.0201613,1.973826461,0.844383587
"36026 Brion, France",36026,4,COM,Brion,382,4.737156464,0.844388407
"64175 Castet, France",64175,1.5,COM,Castet,122.4203822,1.776426877,0.844391638
"15124 Menet, France",15124,5.5,COM,Menet,430.4962406,6.513503817,0.844399597
"67348 Obernai, France",67348,92.66666667,COM,Obernai,7592.009648,109.7418523,0.844405892
"54018 Anoux, France",54018,2,COM,Anoux,200.5254921,2.368394627,0.844453866
"61327 Pervenchères, France",61327,3.166666667,COM,Pervenchères,236.9720403,3.749931716,0.844459821
"78474 Orvilliers, France",78474,3.333333333,COM,Orvilliers,531,3.947294227,0.844460317
