"IRIS";"P15_POP";"fdep15"
"011870000";693;0,0865109218202881
"011880000";610;0,740917576407095
"011890000";1144;-0,259574319291007
"011900000";106;-0,864451241108767
"011910000";168;0,297262102498913
"011920000";2275;0,241869936981071
"011930000";239;0,979611910307097
"011940101";4056;-0,184159038085804
"011940102";2134;-0,630628077962749
"011950000";1735;-1,18783481315916
"011960000";1145;-0,248652194027154
"011970000";355;-1,28625031808557
"011980000";278;-1,34049742967686
"011990000";2191;0,467435560400548
"012000000";214;1,00943948847806
"012020101";3100;0,43335208718703
"012020102";3922;-0,198895000121413
"012030000";1202;-0,0889843545017895
"012040000";703;-0,32021056009315
"012050000";1046;0,347205364146299
"012060000";267;0,479095546693102
"012070000";332;-1,89411855665159
"012080000";129;0,507366300753763
"012090000";700;-0,99484892666285
"012100000";227;-0,389680952740667
"012110000";1427;-0,369843711476109
"012120000";721;1,49632205051954
"012130000";1267;-0,111151396096947
"012140000";154;-0,644216139354438
"012150000";47;0,747717698416888
"012160000";887;0,37011186234584
"012180000";93;-1,09707268126883
"012190000";167;0,529545776962394
"012210000";113;-1,92020971807022
"012240000";3145;0,461058132971583
"012250000";387;-1,60516131506365
"012270000";473;0,360182095725999
"012280000";633;0,312945142083992
"012290000";1169;0,117751241427831
"012300000";308;1,67453206451694
"012310000";1988;0,171481136733499
"012320000";2215;-0,0949303286467078
"012330000";130;-0,515122069174451
"012340000";173;-0,453290857905498
"012350000";1070;-0,0387902139684489
"012360000";989;0,143302055651299
"012370000";1600;0,545795243927181
"012380000";2516;-1,49771034528094
"012390000";624;-0,0155744902916513
"012400000";647;-0,136878081831648
"012410000";1316;-1,26010483779865
"012420000";121;1,33937336799053
"012430000";1218;-0,468831466115047
"012440101";2804;-0,0704428960779111
"012440102";2373;1,54689235495204
"012440103";2478;-1,07651750537667
"012450000";878;-0,809569168205005
"012460000";2135;0,733358112452943
"012470000";336;-1,44906515935117
"012480000";2138;-1,66065149269536
"012490101";2518;-0,901514871794723
"012490102";4063;0,626590721831156
"012490103";2993;-1,14963081710911
"012500000";1908;-1,08254439003309
"012520000";773;-0,758340976749647
"012540000";1921;-1,61592374124172
"012550000";598;1,45868526149888
"012570000";344;-0,475195254334189
"012580000";1197;-0,350465168185244
"012590000";667;-0,761525567800541
"012600000";287;-1,20338205958583
"012610000";651;-1,24453994425418
"012620101";3441;-0,92860875707928
"012620102";3591;1,1402014647831
"012630000";3794;-0,559902758916259
"012640000";1021;-0,444692696345474
"012650000";3409;1,73511636873644
"012660000";2439;0,803746521388563
"012670000";1028;0,538955496771747
"012680000";256;0,608653073262499
"012690000";3525;2,12554521737928
"012720000";1500;0,0965763202276101
"012730000";1693;0,56904120017644
"012740000";635;2,08847448336794
"012750000";2487;-2,11100923654135
"012760000";1535;-1,04704015497656
"012770000";118;-0,4394143815853
"012790000";99;-0,6972743407149
"012800000";152;0,617300002158329
"012810000";4390;-2,72276113886493
"012820000";265;-0,728385336358679
"012830102";2090;4,08032491548235
"012830103";2857;4,52965388216591
"012830104";2403;4,56126320963927
"012830201";2470;2,10379854410998
"012830202";2145;1,97507465615707
"012830203";1940;3,59608125810545
"012830301";2577;2,37294280200178
"012830302";15;1,83191182782338
"012830303";2281;1,2726177420969
"012830304";2030;1,58929426507854
"012830305";1457;-0,84264808236317
"012830306";126;-1,84002883344653
"012840000";668;1,1274450050076
"012850000";1171;-1,72792728464573
"012860000";938;-1,14186427246081
"012880000";2537;-2,28533478131881
"012890101";2764;1,06022861448043
"012890102";3477;-0,10515096391615
"012900000";1205;-1,24286852054387
"012910000";810;-0,345337389415017
"012930000";171;-1,63645118575016
"012940000";850;0,400219745125703
"012950000";651;-0,615831960823391
"012960000";393;0,559997366607593
"012970000";794;-1,10812816054047
"012980000";124;0,390383251468
"012990000";541;-0,36250518262276
"013010000";2496;-0,567055149935088
"013020000";159;-0,858537685078909
"013030000";1688;0,316454420159785
"013040000";2867;0,818796973853409
"013050000";2296;1,39367181543277
"013060000";1592;1,42910798489403
"013070000";851;1,33438888543302
"013080000";817;-1,56004208370311
"013090000";91;0,694231215859744
"013100000";238;1,83480812369187
"013110000";47;0,903355791911844
"013130000";7860;-3,36661343517285
"013140000";1685;-0,339109452847304
"013170000";312;0,429801269849317
"013180000";712;-1,41106730890811
